Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes,geometry,nearest_geom,nearest_block
Sunnyside Gardens,40.74565180608076,-73.91819286431682,Sik Gaek,40.7433217090566,-73.9153360823082,Korean Restaurant,4c0c2765a1b32d7f49279cf0,79,POINT (-73.9153360823082 40.7433217090566),POINT (-73.91592964819999 40.7423115578),36081023500
Melrose,40.819754370594936,-73.90942160757436,CTown Supermarkets,40.82337247401143,-73.9089269883284,Grocery Store,4ca84cbc14c337040abcd23b,2,POINT (-73.9089269883284 40.82337247401143),POINT (-73.90959798989999 40.823718593),36005014100
Carroll Gardens,40.68054023107649,-73.99465372828006,White Maize,40.68249983837224,-73.99331251555338,Latin American Restaurant,580bbed438faa26bf0ed9bf2,45,POINT (-73.99331251555338 40.68249983837224),POINT (-73.9919095477 40.6835175879),36047006900
Carnegie Hill,40.782682567125704,-73.95325646837112,THAIs New York,40.77997184937532,-73.95020059033962,Thai Restaurant,562c1e35498e1f96250b44da,31,POINT (-73.95020059033962 40.77997184937532),POINT (-73.9507537688 40.7807537688),36061015400
Little Italy,40.71932379395907,-73.99730467208073,Yi Ji Shi Mo Noodle Corp,40.7182541242483,-73.99593030303214,Chinese Restaurant,5c965dad5455b2002c058659,30,POINT (-73.99593030303214 40.7182541242483),POINT (-73.99507537689999 40.7174371859),36061001600
Carnegie Hill,40.782682567125704,-73.95325646837112,Vinyl Wine,40.78612866457851,-73.95077052391332,Wine Shop,4c22a7319085d13a78bc86cc,17,POINT (-73.95077052391332 40.78612866457851),POINT (-73.9507537688 40.7852763819),36061015801
East Village,40.727846777270244,-73.98222616506415,Tompkins Square Bagels,40.72817262667757,-73.98205369975292,Bagel Shop,4d38f531a558a1cde4c1cd43,1088,POINT (-73.98205369975292 40.72817262667757),POINT (-73.98241206029999 40.7287437186),36061003400
Civic Center,40.71522892046282,-74.00541529873355,City Hall Park,40.712359027088745,-74.00749317653569,Park,3fd66200f964a520d8f11ee3,384,POINT (-74.00749317653569 40.71235902708874),POINT (-74.0077386935 40.7106532663),36061001501
Tompkinsville,40.637316067110326,-74.08055351790115,MTA Bus - Victory Bl & Van Duzer St (S46/S48/S61/S62/S66/S92),40.638024976256794,-74.0778064727783,Bus Stop,4ecbfa90775b4671dc3644e9,0,POINT (-74.07780647277831 40.63802497625679),POINT (-74.0773869347 40.6382914573),36085000300
Jamaica Hills,40.71145964370482,-73.79646462081594,Rite Aid,40.708874200000004,-73.7997339,Pharmacy,4be8754f947820a130edb4db,13,POINT (-73.79973390000001 40.7088742),POINT (-73.7987939698 40.7083919598),36081044602
