,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
435,Bronx,Dunkin',Donut Shop,44.0,8911.0,15.2,46.4,7.1,14.0,9,3
436,Queens,Bocconcini,Pizza Place,37.0,36960.0,44.7,14.5,4.6,18.1,2,0
437,Manhattan,Oslo Coffee Roasters,Coffee Shop,26.8,82399.0,65.4,10.2,27.6,6.0,10,2
438,Staten Island,Carvel,Ice Cream Shop,39.9,41245.0,44.6,23.8,5.3,22.6,6,3
439,Bronx,MTA MaBSTOA Bus Bx22 / Bx39 / BxM10 At White Plains Road & Morris Park Avenue,Bus Station,46.8,22513.0,22.4,28.1,7.1,16.8,1,5
440,Bronx,MTA Bus - Bx8,Bus Station,30.3,27362.0,61.1,12.0,38.0,11.2,0,5
441,Brooklyn,Element Healing Arts,Yoga Studio,39.0,53699.0,81.6,2.3,8.4,8.5,27,4
442,Manhattan,Pickler & Co.,Coffee Shop,29.9,91200.0,74.8,3.2,46.1,9.1,82,2
443,Brooklyn,Bar Great Harry,Bar,32.2,77933.0,67.5,7.8,11.2,6.7,385,2
444,Brooklyn,Cafe Gitane,Café,32.9,100012.0,79.5,4.0,7.6,6.7,12,2
445,Bronx,Tony & Tina's Pizza,Pizza Place,34.3,12248.0,16.7,32.7,30.2,11.7,13,0
446,Queens,Subway,Sandwich Place,50.8,22791.0,29.2,26.9,0.0,22.4,0,1
447,Bronx,Grill 26 at TCR,American Restaurant,46.3,57617.0,65.0,15.6,6.5,18.5,1,1
448,Manhattan,Num Pang Sandwich Shop,Sandwich Place,23.6,115333.0,75.1,3.8,35.9,6.2,46,1
449,Brooklyn,Hungry Ghost,Coffee Shop,40.7,70579.0,75.6,3.9,5.0,12.4,20,2
450,Brooklyn,Brooklyn Bridge Park - Main Street Section,Park,32.9,100012.0,79.5,4.0,7.6,6.7,5,4
451,Manhattan,J.G. Melon,Burger Joint,26.0,172747.0,68.4,2.5,26.2,6.9,479,1
452,Brooklyn,Coffee Project New York,Coffee Shop,28.5,69786.0,65.9,11.8,17.6,9.5,82,2
453,Manhattan,Sant Ambroeus,Italian Restaurant,24.1,209894.0,75.2,3.3,24.6,1.3,132,0
454,Manhattan,Geisha Japanese Cuisine,Japanese Restaurant,38.4,22172.0,31.3,29.7,7.7,12.0,35,1
455,Manhattan,Land & Sea Restaurant,Seafood Restaurant,41.9,31090.0,35.8,28.9,5.5,14.5,42,1
456,Manhattan,EVF Performance,Gym,33.9,101680.0,73.3,6.3,11.8,6.0,30,4
457,Manhattan,Up Thai,Thai Restaurant,34.9,109141.0,70.2,2.9,31.1,3.9,236,1
458,Bronx,Chase Bank,Bank,34.5,24619.0,31.8,29.8,15.7,10.3,9,5
459,Queens,Chang Xin Foods Market Inc.,Grocery Store,33.9,26622.0,39.8,11.5,8.5,15.8,13,3
460,Bronx,Primavera Pizzeria & Restaurant,Pizza Place,46.8,22513.0,22.4,28.1,7.1,16.8,8,0
461,Manhattan,Mia Chef Gelateria,Ice Cream Shop,22.7,80750.0,69.7,5.5,23.9,4.6,24,3
462,Bronx,Sugarboy Bakery Cafe,Bakery,36.5,14963.0,15.4,48.5,16.2,10.9,15,3
463,Manhattan,Antonucci,Italian Restaurant,26.8,141682.0,79.0,1.7,11.6,2.9,42,0
464,Manhattan,William Poll,American Restaurant,26.0,172747.0,68.4,2.5,26.2,6.9,11,1
465,Manhattan,Ninth Street Espresso,Coffee Shop,33.8,24697.0,43.3,20.5,20.9,15.8,141,2
466,Bronx,Dunkin',Donut Shop,43.1,18173.0,26.2,31.8,2.3,11.5,26,3
467,Manhattan,Broadway Dive,Bar,31.4,71846.0,74.4,7.5,14.2,12.1,134,2
468,Staten Island,Bolla Market,Deli / Bodega,41.0,21351.0,27.6,21.5,4.8,18.7,5,3
469,Manhattan,Stella & Fly,Coffee Shop,33.9,101680.0,73.3,6.3,11.8,6.0,29,2
470,Queens,Carosello,American Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,0,1
471,Bronx,Dunkin',Donut Shop,46.8,22513.0,22.4,28.1,7.1,16.8,30,3
472,Manhattan,Peaky Barista,Coffee Shop,31.4,71846.0,74.4,7.5,14.2,12.1,5,2
473,Queens,Jamaica Park,Park,46.3,18926.0,20.2,38.8,4.4,22.9,2,4
474,Queens,Locals Collective NYC,Coffee Shop,52.9,23979.0,33.8,25.5,2.1,19.7,14,2
475,Manhattan,Soulcycle Outdoors Tribeca Rooftop,Gym / Fitness Center,24.5,117725.0,72.2,4.8,19.6,1.6,0,4
476,Manhattan,Ottomanelli Brothers,Deli / Bodega,31.5,97580.0,67.6,4.0,12.0,4.7,47,3
477,Manhattan,Manero’s Pizza,Pizza Place,24.9,53593.0,50.2,15.7,33.6,6.0,13,0
478,Manhattan,Ben & Jerry's,Ice Cream Shop,35.7,30439.0,55.1,26.3,12.1,11.9,73,3
479,Brooklyn,Caterina Pizza,Pizza Place,58.1,13030.0,15.6,55.9,1.5,13.7,7,0
480,Manhattan,La Cocinita Latina,Latin American Restaurant,35.6,33640.0,50.4,25.6,7.5,9.1,7,1
481,Staten Island,Dunkin',Donut Shop,37.9,23240.0,39.5,12.1,1.2,25.1,20,3
482,Staten Island,Woodrow Diner,Diner,42.2,35567.0,38.8,13.4,2.3,18.3,24,1
483,Queens,Pizza Boy 2,Pizza Place,36.2,26473.0,31.9,28.3,2.3,3.5,23,0
484,Manhattan,Maialino,Italian Restaurant,23.6,106434.0,73.8,6.2,24.7,4.2,1449,0
485,Brooklyn,China Garden,Chinese Restaurant,43.6,16396.0,17.7,29.9,10.8,10.7,2,1
486,Brooklyn,Bareburger,Burger Joint,40.7,70579.0,75.6,3.9,5.0,12.4,309,1
487,Brooklyn,The Rockwell Place,Bar,28.5,69786.0,65.9,11.8,17.6,9.5,13,2
488,Manhattan,787 Coffee,Coffee Shop,30.8,58068.0,63.8,6.6,20.4,6.0,28,2
489,Queens,Walgreens,Pharmacy,37.2,40302.0,44.2,11.8,0.5,16.6,0,3
490,Manhattan,Arturo's,Pizza Place,38.7,17854.0,24.9,33.0,11.8,12.6,16,0
491,Brooklyn,Baskin-Robbins,Ice Cream Shop,37.4,40535.0,66.5,11.7,8.9,12.0,0,3
492,Manhattan,Bottle & Soul,Wine Shop,26.8,141682.0,79.0,1.7,11.6,2.9,15,3
493,Brooklyn,Brooklyn Fare,Grocery Store,33.3,60451.0,69.0,11.1,6.7,9.9,433,3
494,Staten Island,A & C Superette,Deli / Bodega,40.2,33030.0,36.4,26.1,0.2,23.6,31,3
495,Brooklyn,Jay & J Nail,Spa,32.9,100012.0,79.5,4.0,7.6,6.7,9,4
496,Manhattan,Brooklyn Fare,Supermarket,31.1,74370.0,66.4,14.3,35.5,4.6,218,3
497,Brooklyn,Ample Hills Creamery,Ice Cream Shop,33.5,50871.0,62.6,11.5,9.7,11.2,51,3
498,Manhattan,Wine Therapy,Wine Shop,27.8,68346.0,66.9,6.5,12.0,6.0,48,3
499,Queens,Bon Bon Bakery,Bakery,43.0,27515.0,26.6,19.5,2.8,15.2,2,3
500,Brooklyn,FEED Shop & Cafe,Coffee Shop,32.9,100012.0,79.5,4.0,7.6,6.7,75,2
501,Staten Island,MTA Bus - Morningstar Rd & Forest Av (S44/S48/S89/S94/S98/X30),Bus Stop,42.4,19980.0,28.9,38.0,1.7,17.4,0,5
502,Bronx,Golden Pizza,Pizza Place,42.9,14559.0,9.3,43.8,6.5,3.4,9,0
503,Manhattan,Bikini Bar Sip n' Surf,Café,28.3,142738.0,70.2,4.1,20.6,9.5,8,2
504,Bronx,Capital One Bank,Bank,31.8,35402.0,50.0,21.5,16.9,23.7,0,5
505,Manhattan,Maiden Lane,Bar,33.8,24697.0,43.3,20.5,20.9,15.8,185,2
506,Queens,Tacombi,Mexican Restaurant,28.9,74751.0,70.2,9.5,1.9,8.5,0,1
507,Brooklyn,Colonie,American Restaurant,32.4,92429.0,76.3,5.7,13.1,10.4,275,1
508,Bronx,Chase Bank,Bank,40.6,24622.0,33.9,16.8,5.2,20.5,2,5
509,Staten Island,Subway,Sandwich Place,34.8,40747.0,49.5,15.8,2.1,30.1,3,1
510,Manhattan,Rise By We,Gym / Fitness Center,26.1,111599.0,67.6,2.6,24.1,4.6,15,4
511,Queens,Hair Village & Spa,Spa,34.3,18147.0,26.4,21.0,12.6,6.2,9,4
512,Manhattan,The Carlyle,Hotel,21.2,195800.0,79.6,4.6,22.2,7.1,63,4
513,Staten Island,Dolphin Fitness Club,Gym / Fitness Center,41.2,34085.0,49.7,14.3,1.6,21.3,7,4
514,Brooklyn,Bohemien,Cocktail Bar,37.6,56582.0,66.3,6.0,5.5,13.3,5,2
515,Brooklyn,F&F Pizzeria,Pizza Place,35.9,68519.0,71.1,8.7,10.1,19.4,100,0
516,Bronx,Sabrosura,Latin American Restaurant,48.4,18825.0,24.3,29.6,6.7,16.8,67,1
517,Bronx,Perry Coffee Shop.,Diner,43.8,20805.0,21.2,37.0,10.1,8.9,8,1
518,Brooklyn,Krok,Thai Restaurant,37.6,56582.0,66.3,6.0,5.5,13.3,9,1
519,Manhattan,Loui Loui Louisiana Seafood,Seafood Restaurant,33.4,33953.0,63.3,12.4,19.6,12.5,10,1
520,Queens,Packard Cafe & Grill,Café,32.4,32673.0,36.2,23.7,7.3,3.4,31,2
521,Queens,Starbucks,Coffee Shop,34.8,13313.0,35.8,25.2,23.4,7.5,10,2
522,Queens,Levante,Pizza Place,28.9,74751.0,70.2,9.5,1.9,8.5,86,0
523,Bronx,White Castle,Fast Food Restaurant,44.5,14050.0,16.1,39.0,7.5,15.2,16,1
524,Bronx,Pizza,Pizza Place,39.7,12459.0,22.0,31.4,10.6,13.4,0,0
525,Manhattan,The George Washington Bar,Cocktail Bar,22.7,80750.0,69.7,5.5,23.9,4.6,137,2
526,Queens,Slim's Bagels & Bialy's,Bagel Shop,44.7,29973.0,43.7,12.4,2.3,14.0,16,3
527,Manhattan,Parma Restaurant,Italian Restaurant,27.0,95574.0,72.6,5.5,22.9,7.7,14,0
528,Queens,Farm Playground,Playground,40.2,30178.0,42.4,16.8,3.6,12.4,0,5
529,Manhattan,Elio's,Italian Restaurant,31.3,91351.0,61.2,9.1,12.3,5.8,121,0
530,Staten Island,Baci,Italian Restaurant,43.0,48817.0,41.4,9.6,0.7,15.3,2,0
531,Bronx,M.T.A. ZEREGA AVENUE TRAINING FACILITY,Bus Station,43.8,19161.0,31.0,24.9,4.8,17.6,0,5
532,Manhattan,Tudor City Park South,Park,29.9,91200.0,74.8,3.2,46.1,9.1,38,4
533,Queens,Ida's Nearabout,Bar,39.1,34488.0,38.6,24.3,7.5,9.8,39,2
534,Manhattan,La Pecora Bianca,Italian Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,41,0
535,Brooklyn,Bonafide Deli & Cafe,Deli / Bodega,34.6,67878.0,81.5,5.4,14.9,15.5,26,3
536,Manhattan,Whole Foods Market,Grocery Store,35.8,66085.0,75.7,3.1,5.5,11.8,635,3
537,Manhattan,THEP Thai Restaurant,Thai Restaurant,27.0,95574.0,72.6,5.5,22.9,7.7,35,1
538,Manhattan,Lobby Bar at the Ludlow,Cocktail Bar,28.8,60670.0,65.1,15.3,22.4,3.1,95,2
539,Brooklyn,Seatide,Seafood Restaurant,43.2,40692.0,40.5,22.5,7.3,31.5,3,1
540,Bronx,Sam's Pizza,Pizza Place,41.9,31090.0,35.8,28.9,5.5,14.5,29,0
541,Bronx,Gerbasi Ristorante,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,15,0
542,Bronx,Rite Aid,Pharmacy,44.5,14050.0,16.1,39.0,7.5,15.2,13,3
543,Bronx,Simon's Deli & Bagels,Deli / Bodega,34.3,12248.0,16.7,32.7,30.2,11.7,25,3
544,Manhattan,Bode NYC - Upper East Side,Yoga Studio,26.8,141682.0,79.0,1.7,11.6,2.9,71,4
545,Manhattan,Capital One Bank,Bank,35.6,33640.0,50.4,25.6,7.5,9.1,2,5
546,Staten Island,Trattoria Romana,Italian Restaurant,37.7,22573.0,37.5,17.0,7.3,16.3,62,0
547,Manhattan,Whole Foods Market,Grocery Store,19.9,85826.0,74.8,3.6,47.7,1.6,216,3
548,Queens,"MTA Buses - Q1, 2, 3, 17, 36, 43, 76, 77",Bus Station,47.1,14468.0,17.8,30.5,10.3,11.2,2,5
549,Queens,McDonald's,Fast Food Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,26,1
550,Brooklyn,Brooklyn Wines & Liquors,Wine Shop,45.9,24912.0,30.5,26.7,6.7,30.0,0,3
551,Bronx,Venezia Pizzeria,Pizza Place,39.8,23382.0,42.3,12.6,6.2,12.3,10,0
552,Queens,Deli & Grocery,Deli / Bodega,37.0,36960.0,44.7,14.5,4.6,18.1,0,3
553,Manhattan,Manna House Bakery,Bakery,24.9,53593.0,50.2,15.7,33.6,6.0,17,3
554,Queens,Subway,Sandwich Place,42.4,20003.0,26.1,26.3,6.0,8.3,0,1
555,Manhattan,San Matteo Pizza Espresso Bar,Pizza Place,37.9,56872.0,65.7,7.5,14.5,7.4,299,0
556,Manhattan,Reflections Center for Conscious Living & Yoga,Yoga Studio,22.7,80750.0,69.7,5.5,23.9,4.6,45,4
557,Staten Island,Da Noi Fingerboard,Italian Restaurant,35.3,46678.0,43.1,15.0,0.8,30.1,20,0
558,Manhattan,Structure Personal Fitness,Gym / Fitness Center,26.0,172747.0,68.4,2.5,26.2,6.9,17,4
559,Bronx,Subway,Sandwich Place,41.9,31090.0,35.8,28.9,5.5,14.5,3,1
560,Staten Island,Rite Aid,Pharmacy,50.5,29462.0,38.7,25.3,2.3,26.4,12,3
561,Brooklyn,1982 Coffee Roasters,Coffee Shop,37.0,19104.0,41.8,10.4,27.1,5.2,12,2
562,Brooklyn,Express Deli,Deli / Bodega,43.5,12587.0,18.0,34.7,12.7,18.4,1,3
563,Queens,Kings Park,Park,46.3,18926.0,20.2,38.8,4.4,22.9,1,4
564,Manhattan,Grill 26 at TCR,American Restaurant,46.3,57617.0,65.0,15.6,6.5,18.5,1,1
565,Queens,Dunkin',Donut Shop,42.4,20003.0,26.1,26.3,6.0,8.3,4,3
566,Staten Island,Panini Grill,Italian Restaurant,34.8,40747.0,49.5,15.8,2.1,30.1,22,0
567,Manhattan,West Street Wine & Spirits,Wine Shop,22.8,93787.0,75.2,2.5,27.6,5.6,12,3
568,Manhattan,Fuji East,Japanese Restaurant,37.0,50463.0,73.6,6.4,5.1,16.7,24,1
569,Bronx,Fine Fare,Supermarket,46.2,12513.0,17.3,42.9,14.6,13.1,4,3
570,Bronx,La Casa Del Caffe,Coffee Shop,36.2,23930.0,38.4,16.5,17.1,11.0,16,2
571,Staten Island,Don Cesar Mexican,Mexican Restaurant,44.6,32292.0,44.2,15.8,0.1,29.3,3,1
572,Brooklyn,Rosa’s Pizza,Pizza Place,31.6,62145.0,75.9,6.5,4.9,4.9,14,0
573,Manhattan,K&D Wines & Spirits,Wine Shop,24.1,78935.0,71.2,9.9,33.4,3.1,32,3
574,Manhattan,Tudor City Park North,Park,29.9,91200.0,74.8,3.2,46.1,9.1,118,4
575,Staten Island,Royal Crown Bakery,Bakery,43.2,32481.0,46.7,13.9,2.9,15.9,187,3
576,Brooklyn,Lechonera Resurant,Latin American Restaurant,58.1,13030.0,15.6,55.9,1.5,13.7,0,1
577,Brooklyn,Xixa,Latin American Restaurant,33.2,28717.0,42.0,19.9,9.0,7.9,129,1
578,Queens,Rite Aid,Pharmacy,37.2,40302.0,44.2,11.8,0.5,16.6,14,3
579,Queens,Duane Reade,Pharmacy,36.2,26473.0,31.9,28.3,2.3,3.5,5,3
580,Manhattan,Andaz 5th Avenue - a concept by Hyatt,Hotel,19.9,85826.0,74.8,3.6,47.7,1.6,255,4
581,Manhattan,ChaiseFitness,Gym,29.1,116699.0,75.6,8.3,15.3,8.5,22,4
582,Bronx,PR SAZON,Latin American Restaurant,38.7,31134.0,34.6,20.7,1.7,21.3,4,1
583,Manhattan,Manhattan Park Gym,Gym,39.9,39679.0,80.9,4.1,7.7,19.1,4,4
584,Queens,Amina Thai,Thai Restaurant,47.1,14468.0,17.8,30.5,10.3,11.2,12,1
585,Brooklyn,Tower Isle Patties,Bakery,44.9,19021.0,18.7,40.6,5.9,33.4,12,3
586,Queens,Uncle Jimmy's Pizzeria,Pizza Place,38.2,32920.0,44.1,17.6,3.9,10.1,11,0
587,Manhattan,Chopped Parsley,Sushi Restaurant,41.5,21559.0,30.2,28.8,5.4,11.2,11,1
588,Bronx,McDonald's,Fast Food Restaurant,40.1,11783.0,16.5,34.1,23.3,6.7,9,1
589,Brooklyn,M Spa,Spa,37.1,25254.0,35.0,24.8,11.4,13.6,0,4
590,Brooklyn,Nate's Pharmacy,Pharmacy,32.9,100012.0,79.5,4.0,7.6,6.7,0,3
591,Manhattan,Life Time Sky,Gym,26.8,82399.0,65.4,10.2,27.6,6.0,51,4
592,Bronx,SUBWAY,Sandwich Place,37.8,29807.0,34.4,24.7,8.4,19.2,2,1
593,Brooklyn,Hardee,Chinese Restaurant,40.9,17753.0,30.1,30.0,12.0,19.8,16,1
594,Brooklyn,Ugly Baby,Thai Restaurant,35.9,68519.0,71.1,8.7,10.1,19.4,120,1
595,Manhattan,Shorty's,Sandwich Place,25.8,54804.0,66.0,10.6,42.1,4.4,96,1
596,Brooklyn,Vinegar Hill House,American Restaurant,32.9,100012.0,79.5,4.0,7.6,6.7,726,1
597,Queens,MTA Q17 (188th & 73rd),Bus Station,40.2,30178.0,42.4,16.8,3.6,12.4,0,5
598,Staten Island,Key Food Market Place,Supermarket,39.9,41245.0,44.6,23.8,5.3,22.6,15,3
599,Manhattan,Han Joo,Korean Restaurant,36.2,16655.0,24.6,31.7,13.1,3.9,28,1
600,Manhattan,Vintry Fine Wines,Wine Shop,23.6,115333.0,75.1,3.8,35.9,6.2,27,3
601,Staten Island,Wendy’s,Fast Food Restaurant,37.7,22573.0,37.5,17.0,7.3,16.3,26,1
602,Bronx,SUBWAY / Convenient Store,Sandwich Place,42.7,28686.0,31.4,30.5,1.6,22.0,0,1
603,Brooklyn,Bklyn Habit,Coffee Shop,35.9,68519.0,71.1,8.7,10.1,19.4,51,2
604,Queens,Cuisine By Claudette,Café,52.9,23979.0,33.8,25.5,2.1,19.7,2,2
605,Staten Island,Capital One Bank,Bank,39.9,41245.0,44.6,23.8,5.3,22.6,1,5
606,Brooklyn,St. Mazie,Cocktail Bar,31.6,62145.0,75.9,6.5,4.9,4.9,789,2
607,Brooklyn,Water Shed,Bar,35.9,68519.0,71.1,8.7,10.1,19.4,13,2
608,Brooklyn,Mega 53,Grocery Store,37.0,19104.0,41.8,10.4,27.1,5.2,1,3
609,Manhattan,Broadway Diner,Diner,31.4,71846.0,74.4,7.5,14.2,12.1,11,1
610,Bronx,McDonald's,Fast Food Restaurant,40.2,13724.0,20.3,27.9,8.3,12.1,2,1
611,Queens,Empire Garden,Chinese Restaurant,43.8,39540.0,50.7,14.0,2.6,18.7,7,1
612,Bronx,iLoveKickboxing,Gym,38.7,31134.0,34.6,20.7,1.7,21.3,19,4
613,Queens,Happy Garden Restaurant,Chinese Restaurant,42.5,18693.0,23.9,28.4,7.3,5.0,1,1
614,Staten Island,Subway,Sandwich Place,40.5,31408.0,35.4,23.7,5.0,17.0,4,1
615,Manhattan,Crunch - FiDi,Gym / Fitness Center,24.9,89303.0,71.9,3.0,27.8,5.9,21,4
616,Manhattan,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,28.8,60670.0,65.1,15.3,22.4,3.1,68,3
617,Manhattan,TITLE Boxing Club NYC - Midtown West,Gym / Fitness Center,26.0,131432.0,70.8,5.5,36.4,1.7,93,4
618,Brooklyn,Almah Coffee,Coffee Shop,43.6,16396.0,17.7,29.9,10.8,10.7,3,2
619,Manhattan,83 1/2,Italian Restaurant,32.2,98530.0,73.8,6.9,15.5,8.3,20,0
620,Brooklyn,Time Out Bar,Bar,32.9,100012.0,79.5,4.0,7.6,6.7,17,2
621,Manhattan,dell’anima,Italian Restaurant,28.5,89203.0,67.6,11.1,33.0,4.2,5,0
622,Bronx,Papa Chu Deli and Grocery,Grocery Store,48.5,13846.0,26.3,32.0,7.2,24.2,0,3
623,Brooklyn,Red Hook Lobster Pound,Seafood Restaurant,40.7,34346.0,48.7,17.7,13.7,4.6,525,1
624,Manhattan,Cafe de Cupping,Coffee Shop,40.8,25720.0,32.4,23.4,8.0,12.7,74,2
625,Staten Island,Stewart's All American Grill,American Restaurant,42.2,35567.0,38.8,13.4,2.3,18.3,1,1
626,Bronx,Capital One Bank,Bank,42.3,25420.0,30.3,24.0,0.0,20.7,1,5
627,Manhattan,Paradise Alley,Bar,36.2,16655.0,24.6,31.7,13.1,3.9,10,2
628,Queens,Lenny's Clam Bar,Seafood Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,134,1
629,Manhattan,Gyu-Kaku Japanese BBQ,Japanese Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,485,1
630,Manhattan,Dunkin',Donut Shop,41.9,31090.0,35.8,28.9,5.5,14.5,68,3
631,Manhattan,Inase Sushi,Japanese Restaurant,31.5,97580.0,67.6,4.0,12.0,4.7,17,1
632,Manhattan,El Puerto Seafood and Fish Market,Seafood Restaurant,40.7,11947.0,22.0,25.0,7.0,19.4,58,1
633,Bronx,Bill Rainey Park,Park,44.5,14050.0,16.1,39.0,7.5,15.2,2,4
634,Manhattan,The Fhitting Room Penthouse,Gym,24.5,138832.0,81.7,5.1,34.2,2.9,20,4
635,Brooklyn,CVS pharmacy,Pharmacy,60.3,28869.0,38.0,29.7,1.8,26.1,34,3
636,Queens,Little Caesars Pizza,Pizza Place,36.2,26473.0,31.9,28.3,2.3,3.5,1,0
637,Manhattan,Sodam,Korean Restaurant,38.1,20375.0,33.0,28.8,7.3,9.8,10,1
638,Bronx,Pete's Cafe,Diner,34.3,12248.0,16.7,32.7,30.2,11.7,10,1
639,Bronx,Chase Bank,Bank,42.3,25420.0,30.3,24.0,0.0,20.7,1,5
640,Brooklyn,Mermaid Spa,Spa,46.3,28423.0,43.1,25.0,5.1,11.4,39,4
641,Manhattan,New York Marriott Downtown,Hotel,22.8,93787.0,75.2,2.5,27.6,5.6,150,4
642,Queens,Aubergine Cafe,Café,38.2,32920.0,44.1,17.6,3.9,10.1,116,2
643,Manhattan,Uchu,Sushi Restaurant,28.8,60670.0,65.1,15.3,22.4,3.1,32,1
644,Queens,Pollos a La Brasa Mario,Latin American Restaurant,36.2,26473.0,31.9,28.3,2.3,3.5,13,1
645,Manhattan,Park Italian Gourmet,Deli / Bodega,25.7,136078.0,93.1,0.0,58.6,0.0,61,3
646,Bronx,Captain's Pizza,Pizza Place,36.2,23930.0,38.4,16.5,17.1,11.0,3,0
647,Brooklyn,JPan Sushi,Sushi Restaurant,36.0,63430.0,79.1,3.5,11.4,11.2,20,1
648,Queens,Fresh Meadows Pizzeria and Restaurant,Pizza Place,40.2,30178.0,42.4,16.8,3.6,12.4,14,0
649,Bronx,Story Playground,Playground,48.5,13846.0,26.3,32.0,7.2,24.2,1,5
650,Staten Island,La Dolce Bakery & Pastry Shoppe,Bakery,42.2,35567.0,38.8,13.4,2.3,18.3,7,3
651,Manhattan,Ooki Sushi,Sushi Restaurant,31.1,100936.0,69.4,5.5,11.3,8.2,51,1
652,Manhattan,La Colombe Torrefaction,Coffee Shop,19.9,85826.0,74.8,3.6,47.7,1.6,95,2
653,Manhattan,The Smith,American Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,597,1
654,Manhattan,Olga's Pizza,Pizza Place,38.6,17791.0,35.7,30.9,5.8,15.4,21,0
655,Brooklyn,Noods n’ Chill,Thai Restaurant,33.2,28717.0,42.0,19.9,9.0,7.9,30,1
656,Queens,Inplayables,Gym / Fitness Center,49.6,30282.0,35.9,17.9,1.4,26.0,0,4
657,Manhattan,Underdog,Cocktail Bar,26.1,111599.0,67.6,2.6,24.1,4.6,115,2
658,Manhattan,Exceed Physical Culture,Gym / Fitness Center,28.3,142738.0,70.2,4.1,20.6,9.5,91,4
659,Bronx,Great Wall Chinese Restaurant,Chinese Restaurant,37.8,29807.0,34.4,24.7,8.4,19.2,2,1
660,Manhattan,Checkers,Fast Food Restaurant,35.6,33640.0,50.4,25.6,7.5,9.1,21,1
661,Brooklyn,Mr. Piña Fruit and Vegetables,Grocery Store,27.5,16314.0,43.5,13.8,24.5,7.5,166,3
662,Bronx,Smashburger,Burger Joint,38.2,15903.0,22.4,32.9,14.1,20.6,51,1
663,Brooklyn,Landi's Pork Store,Italian Restaurant,43.2,40692.0,40.5,22.5,7.3,31.5,33,0
664,Bronx,Dunkin',Donut Shop,40.1,11783.0,16.5,34.1,23.3,6.7,0,3
665,Manhattan,Takahachi,Sushi Restaurant,28.3,142738.0,70.2,4.1,20.6,9.5,319,1
666,Manhattan,Farinella Bakery,Pizza Place,26.8,141682.0,79.0,1.7,11.6,2.9,58,0
667,Staten Island,Lee's Tavern,Pizza Place,40.5,31408.0,35.4,23.7,5.0,17.0,120,0
668,Manhattan,La Esquina,Mexican Restaurant,24.1,118156.0,65.7,2.7,16.3,1.4,741,1
669,Brooklyn,Bagel Pub,Bagel Shop,34.3,84012.0,80.8,11.1,10.6,12.9,8,3
670,Brooklyn,Court Street Grocers Hero Shop,Sandwich Place,38.2,39277.0,48.5,22.2,12.7,7.7,36,1
671,Manhattan,Punjabi Grocery & Deli,Deli / Bodega,28.8,60670.0,65.1,15.3,22.4,3.1,263,3
672,Manhattan,Blue Park Kitchen,American Restaurant,24.9,89303.0,71.9,3.0,27.8,5.9,17,1
673,Staten Island,Island Garden,Chinese Restaurant,40.5,28115.0,43.8,24.3,5.1,29.7,3,1
674,Bronx,MTA MaBSTOA Bus - Bx4 / Bx4A / Bx6 at 163rd Street & Westchester Avenue,Bus Station,44.5,14050.0,16.1,39.0,7.5,15.2,0,5
675,Queens,Carvel Ice Cream,Ice Cream Shop,36.2,26473.0,31.9,28.3,2.3,3.5,3,3
676,Manhattan,Michelle's Bench,Park,37.0,50463.0,73.6,6.4,5.1,16.7,0,4
677,Manhattan,Pietro's,Italian Restaurant,29.9,91200.0,74.8,3.2,46.1,9.1,40,0
678,Bronx,Green Olive Deli & Grill,Deli / Bodega,46.8,22513.0,22.4,28.1,7.1,16.8,1,3
679,Staten Island,Van Duzer Deli,Deli / Bodega,46.9,35375.0,45.8,19.7,16.1,13.0,0,3
680,Manhattan,Levain Bakery,Bakery,31.3,91351.0,61.2,9.1,12.3,5.8,32,3
681,Staten Island,Pino's Pizzeria,Pizza Place,42.2,35567.0,38.8,13.4,2.3,18.3,5,0
682,Brooklyn,Dry Dock Wine & Spirits,Wine Shop,38.2,39277.0,48.5,22.2,12.7,7.7,55,3
683,Bronx,CTown Supermarkets,Grocery Store,41.0,14801.0,20.1,37.6,3.5,6.3,3,3
684,Manhattan,Maman,Café,24.9,53593.0,50.2,15.7,33.6,6.0,358,2
685,Brooklyn,Buttermilk Channel,American Restaurant,35.9,68519.0,71.1,8.7,10.1,19.4,933,1
686,Manhattan,Brahman Yoga Studio,Yoga Studio,41.5,21559.0,30.2,28.8,5.4,11.2,20,4
687,Brooklyn,Café Regular du Nord,Coffee Shop,40.7,70579.0,75.6,3.9,5.0,12.4,300,2
688,Bronx,Chase Bank,Bank,48.3,24276.0,34.9,21.3,3.1,25.9,6,5
689,Queens,Chase Bank,Bank,35.6,18633.0,16.0,38.4,8.9,7.4,1,5
690,Brooklyn,Mitoushi Sushi,Japanese Restaurant,32.4,92429.0,76.3,5.7,13.1,10.4,48,1
691,Bronx,Baskin-Robbins,Ice Cream Shop,40.3,13599.0,8.1,44.8,7.0,10.9,1,3
