,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
95,Brooklyn,Ab GROCERY STORE,Deli / Bodega,43.6,16396.0,17.7,29.9,10.8,10.7,0,3
96,Manhattan,Pasquale Jones,Pizza Place,24.1,118156.0,65.7,2.7,16.3,1.4,360,0
97,Brooklyn,Fine Fare,Supermarket,45.4,19544.0,34.6,27.7,9.4,20.6,2,3
98,Queens,Xi'an Famous Foods,Chinese Restaurant,28.9,74751.0,70.2,9.5,1.9,8.5,14,1
99,Manhattan,&pizza,Pizza Place,26.1,111599.0,67.6,2.6,24.1,4.6,2,0
100,Queens,TD Bank,Bank,37.2,40302.0,44.2,11.8,0.5,16.6,2,5
101,Bronx,Rincon Ecuatoriano,Latin American Restaurant,45.4,17986.0,35.4,20.9,3.0,15.5,0,1
102,Queens,Café 1 of a Kind,Coffee Shop,37.0,36960.0,44.7,14.5,4.6,18.1,53,2
103,Staten Island,Villaggio,Italian Restaurant,44.6,32292.0,44.2,15.8,0.1,29.3,0,0
104,Manhattan,Aburiya Kinnosuke,Japanese Restaurant,25.5,111765.0,75.4,2.1,51.6,4.7,278,1
105,Brooklyn,MTA Bus - B9 (Ave N & McDonald Ave),Bus Stop,39.0,20159.0,40.2,11.7,6.7,14.4,0,5
106,Brooklyn,Dunkin',Donut Shop,31.8,38824.0,49.3,9.9,3.1,16.0,4,3
107,Staten Island,4 Saint Paul's Cafe and Gallery,Café,46.9,35375.0,45.8,19.7,16.1,13.0,0,2
108,Bronx,ALDI,Supermarket,36.5,14963.0,15.4,48.5,16.2,10.9,28,3
109,Manhattan,Dae Dong Manor,Korean Restaurant,40.8,25720.0,32.4,23.4,8.0,12.7,15,1
110,Brooklyn,Erie Basin Park,Park,38.2,39277.0,48.5,22.2,12.7,7.7,17,4
111,Manhattan,Yakitori Sun-Chan,Japanese Restaurant,31.4,71846.0,74.4,7.5,14.2,12.1,87,1
112,Manhattan,Equinox East 43rd Street,Gym,25.7,136078.0,93.1,0.0,58.6,0.0,119,4
113,Queens,Ace  Bagel & Rolls,Bagel Shop,43.5,19780.0,27.2,28.4,8.1,8.5,5,3
114,Queens,Planet Fitness,Gym,37.2,40302.0,44.2,11.8,0.5,16.6,3,4
115,Bronx,Collucci Playground-Wilkinson Park,Playground,38.7,31134.0,34.6,20.7,1.7,21.3,0,5
116,Queens,산에들에 (SanEhDeulEh) (SanEhDeulEh),Korean Restaurant,42.1,35634.0,46.5,17.4,6.9,14.8,0,1
117,Staten Island,Dunkin',Donut Shop,40.2,33030.0,36.4,26.1,0.2,23.6,8,3
118,Manhattan,Banh Mi Saigon,Sandwich Place,24.9,53593.0,50.2,15.7,33.6,6.0,458,1
119,Manhattan,Kula Yoga Project,Yoga Studio,23.5,70170.0,60.0,7.1,28.6,3.9,48,4
120,Brooklyn,Annie's First Wok,Chinese Restaurant,32.9,100012.0,79.5,4.0,7.6,6.7,3,1
121,Manhattan,Dig Inn,American Restaurant,31.1,100936.0,69.4,5.5,11.3,8.2,69,1
122,Manhattan,La Petite Cave,Wine Shop,23.7,77456.0,74.4,5.0,28.0,5.2,30,3
123,Bronx,Jerry's Pizza,Pizza Place,43.1,18173.0,26.2,31.8,2.3,11.5,10,0
124,Brooklyn,Kevin's,Seafood Restaurant,40.7,34346.0,48.7,17.7,13.7,4.6,13,1
125,Brooklyn,The Black Flamingo,Café,40.7,34346.0,48.7,17.7,13.7,4.6,94,2
126,Manhattan,Eat Pretty,Café,31.5,97580.0,67.6,4.0,12.0,4.7,6,2
127,Manhattan,Corner Bagel Shop,Bagel Shop,37.9,56872.0,65.7,7.5,14.5,7.4,33,3
